COINS(excluding Nicehash) 
MWC-CT31(MWC)(will earn the most)
Ethereum(ETH)
Flux(FLUX)
Swap(XWP)
Conflux(CFX)
Grin-CT32(GRIN)
Zano(ZANO)
BitcoinGold(BTG)
Tent(TENT)
Aeternity(AE)
Vidulum(VDL)
Firo(FIRO)
Zero(ZER)
Ravencoin(RVN)
BitTubeCash(TUBE)
Zclassic(ZCL)
Ryo(RYO)
Aion(AION)
Beam(BEAM)
BitCash(BITC)
Equilibria(XEQ)
Sinovate(SIN)
Ellaism(ELLA)
Dubaicoin(DBIX)
HavenProtocol(XHV)
Vertcoin(VTC)
Ether-1(ETHO)
Conceal(CCX)
Callisto(CLO)
EthereumClassic(ETC)
Bloc(BLOC)
Expanse(EXP)
QuarkChain(QKC)
Metaverse(ETP)
Ubiq(UBQ)
01coin(ZOC)
GoByte(GBX)
EtherGem(EGEM)
Feathercoin(FTC)
Lethean(LTHN)
Sumokoin(SUMO)
EtherSocial(ESN)
Masari(MSR)
Quantum R L(QRL)
Monero(XMR)
Sero(SERO)
